articul,posicion,price_base,price_midl,deviation,percent,price_min,price_max,title
KS-1759,Машинка Крест NORVA KS-1759 золотой,103.62,'95.0,'8.62,'% 8.32,'62.0,'128.0,
KS-1768,Машинка Мостик NORVA KS-1768 золотой,103.62,'89.42,'14.2,'% 13.7,'62.0,'116.85,
KS-1769,Машинка Паук NORVA KS-1769 золотой,103.62,'89.42,'14.2,'% 13.7,'62.0,'116.85,
KS-2629,Перчатка для бильярда NORVA Cuetec KS-2629 черный,40.82,'46.7,'-5.88,'% -14.4,'25.0,'68.4,
KS-0516,Перчатка для бильярда NORVA IBS KS-0516 черный-синий-красный,133.44,'116.02,'17.42,'% 13.05,'81.0,'151.05,
KS-0011,Перчатка для бильярда NORVA KS-0011 черный,21.98,'25.74,'-3.75,'% -17.11,'13.0,'38.48,
KS-2090,Перчатка для бильярда NORVA KS-2090 черный,72.22,'83.99,'-11.76,'% -16.3,'44.0,'123.98,
KS-2794,Перчатка для бильярда NORVA KS-2794 цвета в ассортименте,417.62,'285.5,'132.12,'% 31.64,'252.0,'319.0,
KS-0500,Перчатка для бильярда NORVA MASTER KS-0500 черный,25.11,'28.87,'-3.76,'% -14.97,'15.0,'42.75,
KS-0515,Перчатка для бильярда NORVA PREDATOR KS-0515 цвета в ассортименте,219.8,'157.41,'62.39,'% 28.38,'133.0,'181.83,
KS-0014,Подвес для кия NORVA KS-0014 длина-10см цвета в ассортименте,36.11,'40.92,'-4.81,'% -13.32,'22.0,'59.85,
KS-3240,"Подвес для кия NORVA KS-3240 диаметр-3,5cм цвета в ассортименте",21.98,'25.74,'-3.75,'% -17.11,'13.0,'38.48,
KS-2012,Ремкомплект для бильярда SP-Sport KS-2012,298.3,'232.5,'65.8,'% 22.06,'170.0,'295.0,
KS-3939-57,Треугольник бильярдный для пула NORVA KS-3939-57 черный,158.57,'122.5,'36.06,'% 22.75,'96.0,'149.0,
KS-3940-68,Треугольник для русского бильярда NORVA KS-3940-68 черный,274.75,'204.5,'70.25,'% 25.57,'148.0,'261.0,
